Ensembl hit	Gene Name	Description	Gene Type	Genomic Location	Other Names
ENSG00000153561	RMND5A	required for meiotic nuclear division 5 homolog A 	protein coding	Chromosome 2: 86720291-86778041forward strand	
ENSG00000269148	AC092301.1	"novel transcript, antisense to SYMPK"	lncRNA	Chromosome 19: 45830164-45831108forward strand	
ENSG00000274458	AL590730.2	-	snoRNA	Chromosome 10: 36438661-36438788forward strand	
ENSG00000273406	AC245008.1	novel transcript	lncRNA	Chromosome 1: 120076616-120077091forward strand	
ENSG00000179262	RAD23A	"RAD23 homolog A, nucleotide excision repair protein "	protein coding	Chromosome 19: 12945855-12953642forward strand	
ENSG00000214198	TTC41P	"tetratricopeptide repeat domain 41, pseudogene "	transcribed unitary pseudogene	Chromosome 12: 103843749-103930211reverse strand	
ENSG00000278099	RNVU1-2A	"RNA, variant U1 small nuclear 2A "	snRNA	Chromosome 1: 144551779-144551943reverse strand	
ENSG00000166368	OR2D2	olfactory receptor family 2 subfamily D member 2 	protein coding	Chromosome 11: 6891490-6892599reverse strand	
ENSG00000206072	SERPINB11	serpin family B member 11 	protein coding	Chromosome 18: 63647579-63726432forward strand	
ENSG00000234900	AL135937.1	novel transcript	lncRNA	Chromosome 20: 10753278-10765286reverse strand	
ENSG00000258630	LINC02292	long intergenic non-protein coding RNA 2292 	lncRNA	Chromosome 14: 95319483-95335757forward strand	
ENSG00000127511	SIN3B	SIN3 transcription regulator family member B 	protein coding	Chromosome 19: 16829398-16880353forward strand	
ENSG00000220993	-	-	-	-	-
ENSG00000225269	LINC00705	long intergenic non-protein coding RNA 705 	lncRNA	Chromosome 10: 4655427-4682722forward strand	
ENSG00000214062	RPL7P17	ribosomal protein L7 pseudogene 17 	processed pseudogene	Chromosome 4: 77082403-77083126reverse strand	
ENSG00000095587	TLL2	tolloid like 2 	protein coding	Chromosome 10: 96364608-96513926reverse strand	
ENSG00000274219	AC025588.4	novel zinc finger protein pseudogene	unprocessed pseudogene	Chromosome 19: 57111120-57112027reverse strand	
ENSG00000230100	AL606490.3	novel transcript	lncRNA	Chromosome X: 48333675-48334439reverse strand	
ENSG00000064601	CTSA	cathepsin A 	protein coding	Chromosome 20: 45890144-45898824forward strand	
ENSG00000227766	AL671277.1	HLA complex group 4 pseudogene 5	unprocessed pseudogene	Chromosome 6: 29942075-29943067reverse strand	
ENSG00000008517	IL32	interleukin 32 	protein coding	Chromosome 16: 3065297-3082192forward strand	
ENSG00000215246	AC116351.1	novel transcript	lncRNA	Chromosome 5: 987180-997308reverse strand	
ENSG00000266644	AC103810.5	"novel transcript, antisense to LRRC37A3"	lncRNA	Chromosome 17: 64899766-64900716forward strand	
ENSG00000236893	ASS1P7	argininosuccinate synthetase 1 pseudogene 7 	processed pseudogene	Chromosome 3: 177297161-177298386reverse strand	
ENSG00000254465	THAP12P4	THAP domain containing 12 pseudogene 4 	processed pseudogene	Chromosome 11: 23478068-23480430forward strand	
ENSG00000088179	PTPN4	protein tyrosine phosphatase non-receptor type 4 	protein coding	Chromosome 2: 119759922-119984899forward strand	
ENSG00000070081	NUCB2	nucleobindin 2 	protein coding	Chromosome 11: 17208153-17349980forward strand	
ENSG00000275479	AC087741.2	novel transcript	lncRNA	Chromosome 17: 80149627-80149798forward strand	
ENSG00000166634	SERPINB12	serpin family B member 12 	protein coding	Chromosome 18: 63542369-63569329forward strand	
ENSG00000261789	AC023830.2	"novel transcript, antisense to C16orf96"	lncRNA	Chromosome 16: 4560001-4561662reverse strand	
ENSG00000254092	AC021613.1	novel transcript	lncRNA	Chromosome 8: 20942863-21298168reverse strand	
ENSG00000197421	GGT3P	gamma-glutamyltransferase 3 pseudogene 	transcribed unprocessed pseudogene	Chromosome 22: 18773665-18843399reverse strand	
ENSG00000161558	TMEM143	transmembrane protein 143 	protein coding	Chromosome 19: 48332356-48364059reverse strand	
ENSG00000276644	DACH1	dachshund family transcription factor 1 	protein coding	Chromosome 13: 71437966-71867204reverse strand	
ENSG00000260900	AC145350.3	integrator complex subunit 4-like 2 (INTS4L2) pseudogene	processed pseudogene	Chromosome 16: 33059936-33060098forward strand	
ENSG00000278732	Metazoa_SRP	Metazoan signal recognition particle RNA 	misc RNA	Chromosome 13: 31975167-31975448forward strand	
ENSG00000196167	COLCA1	colorectal cancer associated 1 	lncRNA	Chromosome 11: 111290787-111305498reverse strand	
ENSG00000268465	AC008403.1	novel protein	protein coding	Chromosome 19: 48465837-48472431forward strand	
ENSG00000264438	RN7SL560P	"RNA, 7SL, cytoplasmic 560, pseudogene "	misc RNA	Chromosome 9: 128709780-128710043forward strand	
ENSG00000204113	BMP2KL	BMP2 inducible kinase like (pseudogene) 	processed pseudogene	Chromosome X: 74185929-74187153forward strand	
ENSG00000207000	RNU6-820P	"RNA, U6 small nuclear 820, pseudogene "	snRNA	Chromosome 9: 68935873-68935979reverse strand	
ENSG00000254131	AC093367.1	"glucosidase, beta (bile acid) 2 (GBA2) pseudogene"	processed pseudogene	Chromosome 8: 42484600-42485019forward strand	
ENSG00000118972	FGF23	fibroblast growth factor 23 	protein coding	Chromosome 12: 4368227-4379712reverse strand	
ENSG00000264104	AC114689.1	SECIS binding protein 2 (SECISBP2) pseudogene	processed pseudogene	Chromosome 18: 67788268-67791035reverse strand	
ENSG00000179833	SERTAD2	SERTA domain containing 2 	protein coding	Chromosome 2: 64631621-64751005reverse strand	
ENSG00000264576	-	-	-	-	-
ENSG00000064225	ST3GAL6	"ST3 beta-galactoside alpha-2,3-sialyltransferase 6 "	protein coding	Chromosome 3: 98732236-98821201forward strand	
ENSG00000267108	AP001029.1	novel transcript	lncRNA	Chromosome 18: 12432897-12437635forward strand	
ENSG00000221372	-	-	-	-	-
ENSGR0000264510	-	-	-	-	-
ENSG00000057294	PKP2	plakophilin 2 	protein coding	Chromosome 12: 32790755-32896777reverse strand	
ENSG00000227535	AL357315.1	novel transcript	lncRNA	Chromosome 6: 104831129-104845820reverse strand	
ENSG00000252628	RNU6-453P	"RNA, U6 small nuclear 453, pseudogene "	snRNA	Chromosome 17: 44307088-44307172forward strand	
ENSG00000166007	TRIM51HP	"tripartite motif-containing 51H, pseudogene "	transcribed unprocessed pseudogene	Chromosome 11: 55291883-55298270reverse strand	
ENSG00000273055	AC005046.1	"novel transcript, antisense to LAMB1"	lncRNA	Chromosome 7: 107942116-107942740forward strand	
ENSG00000242041	RPL35AP28	ribosomal protein L35a pseudogene 28 	processed pseudogene	Chromosome 12: 49863173-49863503forward strand	
ENSG00000278923	AP005242.3	novel transcript	lncRNA	Chromosome 18: 15056845-15066598reverse strand	
ENSG00000167768	KRT1	keratin 1 	protein coding	Chromosome 12: 52674736-52680407reverse strand	
ENSG00000280159	AC016583.1	tec	TEC	Chromosome 5: 54643557-54645987forward strand	
ENSG00000235240	AC026185.1	microtubule associated serine/threonine kinase 2 (MAST2) pseudogene	unprocessed pseudogene	Chromosome 3: 11488300-11488473reverse strand	
ENSG00000264172	PDLIM1P3	PDZ and LIM domain 1 pseudogene 3 	processed pseudogene	Chromosome 17: 27002661-27003259reverse strand	
ENSG00000199903	RNU6-1273P	"RNA, U6 small nuclear 1273, pseudogene "	snRNA	Chromosome 12: 51037499-51037602forward strand	
ENSG00000200058	RNA5SP218	"RNA, 5S ribosomal pseudogene 218 "	rRNA pseudogene	Chromosome 6: 134257035-134257143forward strand	
ENSG00000275358	AL080312.2	novel transcript	lncRNA	Chromosome 20: 25062962-25063591reverse strand	
ENSG00000218358	RAET1K	retinoic acid early transcript 1K pseudogene 	transcribed unprocessed pseudogene	Chromosome 6: 149998019-150005157reverse strand	
ENSG00000266460	AC021506.1	novel transcript	lncRNA	Chromosome 18: 75844925-75868252reverse strand	
ENSG00000260371	AC026464.3	novel protein	protein coding	Chromosome 16: 69335091-69356306reverse strand	
ENSG00000264091	-	-	-	-	-
ENSG00000238921	-	-	-	-	-
ENSG00000274815	-	-	-	-	-
ENSG00000269349	AC022150.3	"novel transcript, antisense to ZNF578"	lncRNA	Chromosome 19: 52511282-52512342reverse strand	
ENSG00000200291	Y_RNA	Y RNA 	misc RNA	Chromosome X: 117914244-117914345reverse strand	
ENSG00000233614	DDX11L10	DEAD/H-box helicase 11 like 10 (pseudogene) 	transcribed unprocessed pseudogene	Chromosome 16: 11555-14090forward strand	
ENSG00000022567	SLC45A4	solute carrier family 45 member 4 	protein coding	Chromosome 8: 141207166-141308305reverse strand	
ENSG00000241670	-	-	-	-	-
ENSG00000278933	AC022743.1	TEC	TEC	Chromosome 18: 43499173-43499836forward strand	
ENSG00000202175	RNA5SP128	"RNA, 5S ribosomal pseudogene 128 "	rRNA pseudogene	Chromosome 3: 33491983-33492098reverse strand	
ENSG00000120662	MTRF1	mitochondrial translation release factor 1 	protein coding	Chromosome 13: 41216369-41263577reverse strand	
ENSG00000235523	AL135924.2	novel transcript	lncRNA	Chromosome 9: 72257336-72257783forward strand	
ENSG00000249848	AC112673.1	transmembrane protein 126A (TMEM126A) pseudogene	processed pseudogene	Chromosome 8: 10336782-10337677reverse strand	
ENSG00000277826	AL157858.2	-	misc RNA	Chromosome 14: 93637179-93637338forward strand	
ENSG00000230225	MTND5P14	MT-ND5 pseudogene 14 	unprocessed pseudogene	Chromosome 9: 5109496-5110762forward strand	
ENSG00000239877	IGSF11-AS1	IGSF11 antisense RNA 1 	lncRNA	Chromosome 3: 118943073-118948241forward strand	
ENSG00000201398	U8	U8 small nucleolar RNA 	snoRNA	Chromosome 3: 154007367-154007502reverse strand	
ENSG00000281474	-	-	-	-	-
ENSG00000272905	AC018648.1	novel transcript	lncRNA	Chromosome 7: 32845394-32846061forward strand	
ENSG00000259952	AC009133.2	"novel transcript, antisense to MAZ"	lncRNA	Chromosome 16: 29806496-29807732reverse strand	
ENSG00000260812	RARRES2P7	retinoic acid receptor responder 2 pseudogene 7 	processed pseudogene	Chromosome 16: 35414279-35414747reverse strand	
ENSG00000225630	MTND2P28	MT-ND2 pseudogene 28 	unprocessed pseudogene	Chromosome 1: 629640-630683forward strand	
ENSG00000230231	FMO7P	"flavin containing dimethylaniline monoxygenase 7, pseudogene "	unprocessed pseudogene	Chromosome 1: 166474745-166481565forward strand	
ENSG00000164283	ESM1	endothelial cell specific molecule 1 	protein coding	Chromosome 5: 54977867-55022671reverse strand	
ENSG00000231880	KF459542.1	"novel transcript, antisense to KBTBD4"	lncRNA	Chromosome 11: 47577725-47578277forward strand	
ENSG00000227489	AC006458.1	novel transcript	lncRNA	Chromosome 7: 15066207-15068651forward strand	
ENSG00000254555	AP003730.1	high-mobility group nucleosome binding domain 1 (HMGN1) pseudogene	processed pseudogene	Chromosome 11: 97908253-97908537reverse strand	
ENSG00000013392	RWDD2A	RWD domain containing 2A 	protein coding	Chromosome 6: 83193357-83198935forward strand	
ENSG00000258279	LINC00592	long intergenic non-protein coding RNA 592 	lncRNA	Chromosome 12: 52164115-52223813forward strand	
ENSG00000226688	ENTPD1-AS1	ENTPD1 antisense RNA 1 	lncRNA	Chromosome 10: 95732976-96090250reverse strand	
ENSG00000250929	LINC01181	long intergenic non-protein coding RNA 1181 	lncRNA	Chromosome 8: 103121032-103132966forward strand	
ENSG00000204581	ACOXL-AS1	ACOXL antisense RNA 1 	lncRNA	Chromosome 2: 111098345-111116407reverse strand	
ENSG00000225620	AC104463.1	novel transcript	lncRNA	Chromosome 1: 202632428-202632911forward strand	
ENSG00000258477	PPIAP6	peptidylprolyl isomerase A pseudogene 6 	processed pseudogene	Chromosome 14: 68421698-68422196reverse strand	
ENSG00000225488	AC092447.4	novel transcript	lncRNA	Chromosome 7: 56477588-56484386reverse strand	
ENSG00000184178	SCFD2	sec1 family domain containing 2 	protein coding	Chromosome 4: 52872982-53366066reverse strand	
ENSG00000237786	GFOD1-AS1	GFOD1 antisense RNA 1 	lncRNA	Chromosome 6: 13486294-13486852forward strand	
ENSG00000166913	YWHAB	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein beta 	protein coding	Chromosome 20: 44885702-44908532forward strand	
ENSG00000275856	AL669914.2	-	misc RNA	Chromosome 6: 30058115-30058190forward strand	
ENSG00000164112	SMIM43	small integral membrane protein 43 	protein coding	Chromosome 4: 121758881-121765427reverse strand	
ENSG00000259345	AC013652.1	novel transcript	lncRNA	Chromosome 15: 38865322-39427195reverse strand	
ENSG00000130204	TOMM40	translocase of outer mitochondrial membrane 40 	protein coding	Chromosome 19: 44890569-44903689forward strand	
ENSG00000280387	AL109806.1	TEC	TEC	Chromosome 20: 56522252-56523499forward strand	
ENSG00000189099	PRSS48	serine protease 48 	protein coding	Chromosome 4: 151277171-151291453forward strand	
ENSG00000232879	GLRX5P2	GLR5 pseudogene 2 	processed pseudogene	Chromosome 1: 161034834-161035006forward strand	
ENSG00000111863	ADTRP	androgen dependent TFPI regulating protein 	protein coding	Chromosome 6: 11712054-11807046reverse strand	
ENSG00000164182	NDUFAF2	NADH:ubiquinone oxidoreductase complex assembly factor 2 	protein coding	Chromosome 5: 60945177-61154531forward strand	
ENSG00000109618	SEPSECS	Sep (O-phosphoserine) tRNA:Sec (selenocysteine) tRNA synthase 	protein coding	Chromosome 4: 25120014-25160550reverse strand	
ENSG00000271623	AC138894.3	"PRKC, apoptosis, WT1, regulator (PAWR) pseudogene"	processed pseudogene	Chromosome 16: 28364700-28365333forward strand	
ENSG00000279345	Z98885.3	"novel transcript, antisense to BRD1"	lncRNA	Chromosome 22: 49805452-49807208forward strand	
ENSG00000214866	DCDC2C	doublecortin domain containing 2C 	protein coding	Chromosome 2: 3703575-3848008forward strand	
ENSG00000153015	CWC27	CWC27 spliceosome associated cyclophilin 	protein coding	Chromosome 5: 64768930-65018750forward strand	
ENSG00000202290	RNA5SP37	"RNA, 5S ribosomal pseudogene 37 "	rRNA pseudogene	Chromosome 13: 97362972-97363101reverse strand	
ENSG00000254578	AC084125.1	"novel transcript, antisense to CYHR1"	lncRNA	Chromosome 8: 144463817-144465101forward strand	
ENSG00000240710	AL512306.3	novel transcript	lncRNA	Chromosome 1: 204603035-204616565forward strand	
ENSG00000248778	AC105391.1	DEAD (Asp-Glu-Ala-Asp) box polypeptide 50 (DDX50) pseudogene	processed pseudogene	Chromosome 4: 105679050-105680094reverse strand	
ENSG00000250210	FO082796.1	septin 14 pseudogene 9	unprocessed pseudogene	Chromosome 9: 138286248-138286430forward strand	
ENSG00000225215	SMARCE1P1	"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily e, member 1 pseudogene 1 "	processed pseudogene	Chromosome 11: 107403404-107404589reverse strand	
ENSG00000257246	PHBP19	prohibitin pseudogene 19 	processed pseudogene	Chromosome 12: 51124628-51125381reverse strand	
ENSG00000245017	LINC02453	long intergenic non-protein coding RNA 2453 	lncRNA	Chromosome 12: 98485544-98503855reverse strand	
ENSG00000281091	AL117327.1	novel transcript	lncRNA	Chromosome X: 103404777-103452754forward strand	
ENSG00000250885	LINC02061	long intergenic non-protein coding RNA 2061 	lncRNA	Chromosome 5: 32646564-32651976reverse strand	
ENSG00000273797	AL133445.2	"novel transcript, sense intronic to KIAA0247"	lncRNA	Chromosome 14: 69617122-69617648forward strand	
ENSG00000089116	LHX5	LIM homeobox 5 	protein coding	Chromosome 12: 113462033-113472280reverse strand	
ENSG00000036448	MYOM2	myomesin 2 	protein coding	Chromosome 8: 2045046-2165552forward strand	
ENSG00000234055	AL158151.2	novel transcript	lncRNA	Chromosome 9: 129097854-129100266forward strand	
ENSG00000267552	AC093227.2	novel transcript	protein coding	Chromosome 19: 37689865-37719188reverse strand	
ENSG00000224695	MTND6P7	MT-ND6 pseudogene 7 	processed pseudogene	Chromosome 2: 82817538-82818061reverse strand	
ENSG00000106038	EVX1	even-skipped homeobox 1 	protein coding	Chromosome 7: 27242700-27250493forward strand	
ENSG00000255189	GLYATL1P1	glycine-N-acyltransferase like 1 pseudogene 1 	unprocessed pseudogene	Chromosome 11: 58978787-58994120forward strand	
ENSG00000164114	MAP9	microtubule associated protein 9 	protein coding	Chromosome 4: 155342658-155376970reverse strand	
ENSG00000238698	RNU7-147P	"RNA, U7 small nuclear 147 pseudogene "	snRNA	Chromosome 2: 199191059-199191120forward strand	
ENSG00000199836	RNU1-47P	"RNA, U1 small nuclear 47, pseudogene "	snRNA	Chromosome 14: 99945315-99945477forward strand	
ENSG00000149089	APIP	APAF1 interacting protein 	protein coding	Chromosome 11: 34853094-34916379reverse strand	
ENSG00000251710	-	-	-	-	-
ENSG00000224570	AC097063.1	UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 11 (GalNAc-T11) (GALNT11) pseudogene	processed pseudogene	Chromosome 1: 65576129-65578380reverse strand	
ENSG00000179632	MAF1	"MAF1 homolog, negative regulator of RNA polymerase III "	protein coding	Chromosome 8: 144104461-144107611forward strand	
ENSG00000271677	Z82195.1	myotubularin related protein 8 (MTMR8) pseudogene	unprocessed pseudogene	Chromosome X: 130545586-130546474forward strand	
ENSG00000114861	FOXP1	forkhead box P1 	protein coding	Chromosome 3: 70954708-71583989reverse strand	
ENSG00000205030	OR5L2	olfactory receptor family 5 subfamily L member 2 	protein coding	Chromosome 11: 55827219-55828154forward strand	
ENSG00000138193	PLCE1	phospholipase C epsilon 1 	protein coding	Chromosome 10: 93993931-94332823forward strand	
ENSG00000243073	PRAMEF4	PRAME family member 4 	protein coding	Chromosome 1: 12879212-12886201reverse strand	
ENSG00000152942	RAD17	RAD17 checkpoint clamp loader component 	protein coding	Chromosome 5: 69369293-69414801forward strand	
ENSG00000240809	CAP1P1	CAP1 pseudogene 1 	processed pseudogene	Chromosome 3: 76434018-76435428forward strand	
ENSG00000280004	AC005086.4	-	pseudogene	Chromosome 7: 102186819-102187039reverse strand	
ENSG00000224560	AC108043.1	ribosomal protein L4 (RPL4) pseudogene	processed pseudogene	Chromosome 4: 45414337-45414910reverse strand	
ENSG00000227233	CICP17	capicua transcriptional repressor pseudogene 17 	processed pseudogene	Chromosome 7: 51382284-51384660forward strand	
ENSG00000118363	SPCS2	signal peptidase complex subunit 2 	protein coding	Chromosome 11: 74949247-74979033forward strand	
ENSG00000258116	PPIAP45	peptidylprolyl isomerase A pseudogene 45 	processed pseudogene	Chromosome 12: 47341614-47342089reverse strand	
ENSG00000273311	DGCR11	DiGeorge syndrome critical region gene 11 	lncRNA	Chromosome 22: 19046162-19048375reverse strand	
ENSG00000136169	SETDB2	SET domain bifurcated histone lysine methyltransferase 2 	protein coding	Chromosome 13: 49444374-49495003forward strand	
ENSG00000279700	AC131212.2	novel transcript	TEC	Chromosome 12: 132565071-132566425forward strand	
ENSG00000121644	DESI2	desumoylating isopeptidase 2 	protein coding	Chromosome 1: 244653103-244709033forward strand	
ENSG00000135903	PAX3	paired box 3 	protein coding	Chromosome 2: 222199887-222298998reverse strand	
ENSG00000138495	COX17	cytochrome c oxidase copper chaperone COX17 	protein coding	Chromosome 3: 119654513-119677454reverse strand	
ENSG00000204528	PSORS1C3	psoriasis susceptibility 1 candidate 3 	lncRNA	Chromosome 6: 31173735-31177899reverse strand	
ENSG00000169992	NLGN2	neuroligin 2 	protein coding	Chromosome 17: 7404874-7419860forward strand	
ENSG00000239344	AC090686.1	ribosomal protein S6 (RPS6) pseudogene	processed pseudogene	Chromosome 8: 103768281-103769029forward strand	
ENSG00000253309	SERPINE3	serpin family E member 3 	protein coding	Chromosome 13: 51335773-51364735forward strand	
ENSG00000101323	HAO1	hydroxyacid oxidase 1 	protein coding	Chromosome 20: 7882985-7940458reverse strand	
ENSG00000272456	AC087045.2	novel transcript	lncRNA	Chromosome 8: 134722947-134723949forward strand	
ENSG00000251538	LINC02201	long intergenic non-protein coding RNA 2201 	lncRNA	Chromosome 5: 122628952-122730685reverse strand	
ENSG00000263711	LINC02864	long intergenic non-protein coding RNA 2864 	lncRNA	Chromosome 18: 73151241-73264480reverse strand	
ENSG00000262662	AC127496.4	"novel transcript, antisense to RPTOR"	lncRNA	Chromosome 17: 80960766-80961713reverse strand	
ENSG00000127564	PKMYT1	"protein kinase, membrane associated tyrosine/threonine 1 "	protein coding	Chromosome 16: 2968024-2980479reverse strand	
ENSG00000219395	HSPA8P15	heat shock protein family A (Hsp70) member 8 pseudogene 15 	processed pseudogene	Chromosome 6: 151411259-151413945reverse strand	
ENSG00000255349	OR4A7P	olfactory receptor family 4 subfamily A member 7 pseudogene 	unprocessed pseudogene	Chromosome 11: 54692450-54693359forward strand	
ENSG00000254843	XIAPP2	X-linked inhibitor of apoptosis pseudogene 2 	processed pseudogene	Chromosome 11: 87094734-87096585reverse strand	
ENSG00000277998	AC107075.1	"eukaryotic translation initiation factor 3, subunit E (EIF3E) pseudogene"	unprocessed pseudogene	Chromosome 2: 164573741-164574054forward strand	
ENSG00000275248	AL355810.1	novel transcript	lncRNA	Chromosome 13: 109805317-109805868forward strand	
ENSG00000226086	EIF3LP3	eukaryotic translation initiation factor 3 subunit L pseudogene 3 	processed pseudogene	Chromosome 10: 38080056-38080877reverse strand	
ENSG00000235023	AP001626.1	novel transcript	lncRNA	Chromosome 21: 42648271-42651244reverse strand	
ENSG00000176973	FAM89B	family with sequence similarity 89 member B 	protein coding	Chromosome 11: 65572349-65574198forward strand	
ENSG00000255521	AL356215.1	novel transcript	lncRNA	Chromosome 11: 35132655-35138032reverse strand	
ENSG00000211682	IGLJ6	immunoglobulin lambda joining 6 	IG J gene	Chromosome 22: 22918132-22918201forward strand	
ENSG00000231630	AL592464.1	novel transcript	lncRNA	Chromosome 1: 2814432-2814998reverse strand	
ENSG00000249514	TMEM251P1	transmembrane protein 251 pseudogene 1 	processed pseudogene	Chromosome 5: 91030990-91031307reverse strand	
ENSG00000272374	Z97832.2	"novel transcript, antisense to SCUBE3"	lncRNA	Chromosome 6: 35220370-35224630reverse strand	
ENSG00000159479	MED8	mediator complex subunit 8 	protein coding	Chromosome 1: 43383917-43389808reverse strand	
ENSG00000112511	PHF1	PHD finger protein 1 	protein coding	Chromosome 6: 33410399-33416453forward strand	
ENSG00000196381	ZNF781	zinc finger protein 781 	protein coding	Chromosome 19: 37667751-37692315reverse strand	
ENSG00000211950	IGHV1-24	immunoglobulin heavy variable 1-24 	IG V gene	Chromosome 14: 106276548-106277043reverse strand	
ENSG00000202534	RNU6-1329P	"RNA, U6 small nuclear 1329, pseudogene "	snRNA	Chromosome 12: 92952639-92952745forward strand	
ENSG00000231062	AC103563.2	putative  novel transcript	lncRNA	Chromosome 2: 95051395-95053176reverse strand	
ENSG00000154511	DIPK1A	divergent protein kinase domain 1A 	protein coding	Chromosome 1: 92832737-92961522reverse strand	
ENSG00000253946	AC008489.1	ribosomal protein L21 (RPL21) pseudogene	processed pseudogene	Chromosome 5: 165905126-165905608forward strand	
ENSG00000144504	ANKMY1	ankyrin repeat and MYND domain containing 1 	protein coding	Chromosome 2: 240479422-240569209reverse strand	
ENSG00000142507	PSMB6	proteasome 20S subunit beta 6 	protein coding	Chromosome 17: 4796144-4798502forward strand	
